Place_of_residence_partner_man,Place_of_birth_partner_man,Age_partner_man,Monthly_income_partner_man_weight,Occupation_partner_man,Place_of_birth_partner_woman,Age_partner_woman,Place_of_residence_partner_woman,Occupation_partner_woman,Monthly_income_partner_woman_weight,Level_of_education_partner_man,Level_of_education_partner_woman,Custody
PEACE,SONORA,73,60000,SALES AGENT,ANGEL R. CABADA,51,LAKE HUART,AUDITOR,26000,HIGH SCHOOL,HIGH SCHOOL,MOTHER
TUXPAN,NARVARTE,78,2120,CRAFTSMAN,SAN CRISTOBAL HIDALGO,22,LONG STEP,ANTHROPOLOGY,9200,HIGH SCHOOL,OTHER,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,49,3300,EMPLOYEE,FEDERAL DISTRICT,41,XALAPA-ENRIQUEZ,EMPLOYEE,2600,PREPARATORY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,38,10,EMPLOYEE,XALAPA-ENRIQUEZ,53,RICH POOL,Sociologist,5.5,PREPARATORY,PRIMARY,OTHER
VERACRUZ,FEDERAL DISTRICT,36,6000,EMPLOYEE,XALAPA-ENRIQUEZ,38,VERACRUZ,EMPLOYEE,4000,PROFESSIONAL,PREPARATORY,MOTHER
COSAMALOAPAN,JUAN MARCOA,68,1700,FAMILY DOCTOR,NAUCALPAN,27,SAN ANDRES,PUERICULTUR,26693,HIGH SCHOOL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,COATZACOALCOS,32,10000,EMPLOYEE,XALAPA-ENRIQUEZ,20,XALAPA-ENRIQUEZ,HOME DUTIES,9600,PROFESSIONAL,PREPARATORY,DAD
THE FISHES,TEZIUTLAN,91,708652,ALUMINUM,TLALPAN,49,TEMPOAL,COMPUTING,3000,PRIMARY,PRIMARY,OTHER
VALLARTA PORT,THE RAISINS,27,2120,ING. ELECTRICAL TECHNICIAN,VALLEY CITY,52,CHICONTEPEC,SEAMSTRESS,9600,PROFESSIONAL,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,VERACRUZ,27,5000,EMPLOYEE,XALAPA-ENRIQUEZ,22,XALAPA-ENRIQUEZ,HOUSEWIFE,6000,PROFESSIONAL,PROFESSIONAL,MOTHER
CUERNAVACA,WOLFSBURG,62,4330,PATTERN,MARTINIQUE,36,ACTOPAN,SUPERVISOR,14000,PREPARATORY,OTHER,DAD
WHITE LAND,WHITE LAND,41,3200,EMPLOYEE,WHITE LAND,36,XALAPA-ENRIQUEZ,HOUSEWIFE,8800,PREPARATORY,HIGH SCHOOL,OTHER
CUERNAVACA,LIBERTY,66,6300,SUPERVISOR,CHICHICAXTLE,81,BUT,LICENSED,10500,OTHER,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,TUXPAN,46,9300,UNEMPLOYED,XALAPA-ENRIQUEZ,39,XALAPA-ENRIQUEZ,HOUSEWIFE,3.5,HIGH SCHOOL,HIGH SCHOOL,MOTHER
COATEPEC,FEDERAL DISTRICT,47,10000,EMPLOYEE,XALAPA-ENRIQUEZ,49,XALAPA-ENRIQUEZ,EMPLOYEE,45000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,THE BEAMS,50,2000,TURNER,XALAPA-ENRIQUEZ,46,XALAPA-ENRIQUEZ,HOUSEWIFE,4500,PRIMARY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,10000,BUSINESSMAN,XALAPA-ENRIQUEZ,30,XALAPA-ENRIQUEZ,BUSINESSWOMAN,8000,PROFESSIONAL,PROFESSIONAL,DAD
ALTOTONGA,MEXICALI,65,3900,PRIVATE OFFICER,STREAM OF MEDIA OAXACA,55,HUATUSCO,SALES,3700,PREPARATORY,WITHOUT SCHOOLING,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,29,10000,SHOOTING GUARD,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,NURSE,10200,PREPARATORY,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,43,12000,TEACHER,XALAPA-ENRIQUEZ,39,XALAPA-ENRIQUEZ,PROFESSOR,8000,PROFESSIONAL,PROFESSIONAL,DAD
BEAUTIFUL VILLA,CARMEN,36,708652,SURVEYOR,WHITE LAND,40,EMILIANO ZAPATA,VIGILANT,5200,WITHOUT SCHOOLING,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,HIGH PROFIT,43,2200,EMPLOYEE,XALAPA-ENRIQUEZ,34,XALAPA-ENRIQUEZ,EMPLOYEE,2200,PRIMARY,PREPARATORY,DAD
THE LOOKER,VALENCIA,76,10856,CHEMICAL,TUZAMAPAN,55,BEAUTIFUL,BROKER,6400,PREPARATORY,PREPARATORY,MOTHER
THE SPINAL,TUXTLA CHICO,26,12060,RESTAURANT,TOTOLOCHE,69,THE CONCEPTION,MENTORING,4336,PREPARATORY,WITHOUT SCHOOLING,OTHER
ROSES,CARDEL,49,1900,PEMEX EMPLOYEE,GUADALUPE,43,CARDENAS TABASCO,SUPERVISOR,13000,HIGH SCHOOL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,ORIENTAL,41,2500,EMPLOYEE,ORIENTAL,37,XALAPA-ENRIQUEZ,TEACHER,5000,HIGH SCHOOL,PROFESSIONAL,MOTHER
THE LOMA,TELAYA PASS,56,2100,ADVERTISING,TEOCELUS,69,ALLENDE,GRAPHIC DESIGNER,7648,OTHER,PRIMARY,MOTHER
THE BEAMS,ESSEY-LES-NANCY,46,2400,ADVISER,PEACE,24,THE SALMORAL,MUSIC TEACHER,3900,HIGH SCHOOL,WITHOUT SCHOOLING,MOTHER
INDEPENDENCE,SOMPAZOL,62,3,SALARIED,GALLEY,19,BANDERILLA,PSYCHOLOGY,6000,WITHOUT SCHOOLING,OTHER,MOTHER
THE LOOKER,ACAPULCO,59,9600,ING. ELECTRICAL TECHNICIAN,LION,76,CABO SAN LUCAS,BIOLOGY,10000,PREPARATORY,OTHER,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,57,20000,EMPLOYEE,XALAPA-ENRIQUEZ,54,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,40,8000,BUSINESSMAN,XALAPA-ENRIQUEZ,31,XALAPA-ENRIQUEZ,PUBLICIST,5000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,BEAUTIFUL VILLA,37,2000,EMPLOYEE,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,TEACHER,4000,HIGH SCHOOL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,30,4600,EMPLOYEE,CORDOVA,28,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,OVENS,46,8000,EMPLOYEE,XALAPA-ENRIQUEZ,43,XALAPA-ENRIQUEZ,BUSINESSMAN,8000,PREPARATORY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,22,7000,STUDENT,THE TIGERS,21,XALAPA-ENRIQUEZ,HOUSEWIFE,90000,PREPARATORY,HIGH SCHOOL,MOTHER
FEDERAL DISTRICT,ATLIXCO,57,25000,EMPLOYEE,XALAPA-ENRIQUEZ,60,FEDERAL DISTRICT,PROFESSOR,10000,PROFESSIONAL,PROFESSIONAL,MOTHER
FEDERAL DISTRICT,XALAPA - ENRIQUEZ,24,2900,ING. CIVIL,XALAPA-ENRIQUEZ,25,XALAPA-ENRIQUEZ,EDUCATOR,3200,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,50,7000,EMPLOYEE,XALAPA-ENRIQUEZ,41,XALAPA-ENRIQUEZ,EMPLOYEE,2500,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,40,1000,EMPLOYEE,HIGH PROFIT,21,XALAPA-ENRIQUEZ,HOUSEWIFE,14500,HIGH SCHOOL,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,VERACRUZ,31,2400,ACCOUNTANT,XALAPA-ENRIQUEZ,29,XALAPA-ENRIQUEZ,Accountant,21000,PROFESSIONAL,PROFESSIONAL,DAD
IZTACALCO,DENVER,46,2100,AUDITOR,THE JEWEL,69,SANTA LUCIA DEL CAMINO,RESEARCHER,10300,WITHOUT SCHOOLING,HIGH SCHOOL,OTHER
COMALCALCO,TEPETLAN,31,12500,LIC. IN EDUCATION,PLAN OF THE FIG TREE,52,LION,Accountant,12500,PREPARATORY,PROFESSIONAL,DAD
MISANTLA,TULPETLAC,53,39000,POSTAL EMPLOYEE,GUSTAVO A MADERO,32,SAN ANDRES TLALNEHUAYOCAN,PIANO PROFESSOR,1600,PROFESSIONAL,OTHER,DAD
NEW SAN SALVADOR,TLALPAN,71,10900,STYLIST,BALANCAN,48,FEDERAL DISTRICT,CONSULTANT,3400,PRIMARY,OTHER,OTHER
USA,TEPETLAN,36,14000,LITIGANT,JOSE AZUETA,24,MOUTH OF THE RIVER,ACADEMIC,708652,PRIMARY,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,33,8000,EMPLOYEE,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PROFESSIONAL,PROFESSIONAL,MOTHER
CHICONTEPEC,CHICONTEPEC,33,3600,EMPLOYEE,CHICONTEPEC,31,CHICONTEPEC,EMPLOYEE,2000,PROFESSIONAL,PROFESSIONAL,MOTHER
THE ESTANZUELA,THE NARANJILLO,43,6600,ING. CIVIL,CHICONTEPEC,22,CHETUMAL,LIC. IN LANGUAGES,708652,PREPARATORY,PREPARATORY,DAD
NEZAHUALCOYOTL,TEZIUTLAN,68,19194,INSPECTOR,BEAUTIFUL LOMA,46,CHETUMAL,Waitress,3.5,PRIMARY,PRIMARY,OTHER
XALAPA-ENRIQUEZ,COSAUTLAN,39,3000,EMPLOYEE,PINOLTEPEC,39,XALAPA-ENRIQUEZ,HOUSEWIFE,2480,PRIMARY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,NARVARTE,40,6000,EMPLOYEE,ROME,36,XALAPA-ENRIQUEZ,BUSINESSMAN,5000,PROFESSIONAL,PROFESSIONAL,DAD
IGNACIO ZARAGOZA,CATEMAC,31,5900,COUNTER MANAGER,MARTINIQUE,58,XALAPA-ENRIQUEZ,EMPLOYEE,2100,WITHOUT SCHOOLING,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,32,4000,EMPLOYEE,TATATILA,28,XALAPA-ENRIQUEZ,NURSE,7000,PROFESSIONAL,PROFESSIONAL,MOTHER
NETZAHUALCOYOTL CITY,PALMA SOLA,42,3900,GRADUATE,GOOD VIEW,28,COATZACOALCOS,DENTAL PROSTHESIST,50000,PRIMARY,WITHOUT SCHOOLING,MOTHER
COSTA RICA,FLORIDA,37,183000,AUTOMOTIVE PAINTER,WHITE FOAM,77,WHITE LAND,BEAUTY CULTURE,46000,WITHOUT SCHOOLING,PRIMARY,OTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,45,17000,BUSINESSMAN,COSAMALOAPAN,38,XALAPA-ENRIQUEZ,HOME DUTIES,8000,PREPARATORY,PROFESSIONAL,OTHER
CARMEN,KANSAS CITY,23,400,LAUDERO,NICOLAS WHITE,34,TLALNEPANTLA,BANKER,7200,PROFESSIONAL,PROFESSIONAL,DAD
WHITE LAND,SUCHILAPAN DEL R.,49,7600,GARDENER,PLAN OF THE HAGES,40,LAKE HUART,MANAGER,26000,HIGH SCHOOL,PROFESSIONAL,DAD
SAN JUAN,ACAMBARO,62,300,MARKETER,TAPACHULA,55,CHIAPAS,SEAMSTRESS,85000,PRIMARY,PRIMARY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,43,9800,PHOTOGRAPHER,XALAPA-ENRIQUEZ,40,XALAPA-ENRIQUEZ,INSTRUCTOR,6400,WITHOUT SCHOOLING,WITHOUT SCHOOLING,MOTHER
COYOACAN,CUANANA,20,1230,CONCESSIONAIRE,ROOF LERDO,46,OLD PACHO,ING. INDUSTRIAL,11000,PREPARATORY,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,BENITO JUAREZ,43,8000,EMPLOYEE,MARTINEZ DE LA TORRE,38,XALAPA-ENRIQUEZ,EMPLOYEE,4300,PROFESSIONAL,PROFESSIONAL,MOTHER
ZAPOPAN,MONTERREY,48,10000,ATTORNEY,XALAPA-ENRIQUEZ,42,XALAPA-ENRIQUEZ,EMPLOYEE,15000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,COATEPEC,50,412362,EMPLOYEE,XALAPA-ENRIQUEZ,50,XALAPA-ENRIQUEZ,TEACHER,2800,PREPARATORY,PROFESSIONAL,MOTHER
TUXTEPEC,VILLA RICA,62,3050,CAPTAIN OF HEIGHT,POTRERO DEL LLANO,67,SALTILLO,EXECUTIVE ASSISTANT,18188,PROFESSIONAL,OTHER,MOTHER
SANTIAGO TUXTLA,TOLUCA,73,937,WELDER,SHERRY,74,NAOLINCO,SALES,5000,PRIMARY,PROFESSIONAL,OTHER
COSAMALOAPAN,FEDERAL DISTRICT,32,100000,ELECTRIC TECHNICIAN,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,EMPLOYEE,3000,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,VERACRUZ,49,16000,EMPLOYEE,COATEPEC,43,XALAPA-ENRIQUEZ,EMPLOYEE,30000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,32,9000,EMPLOYEE,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,EMPLOYEE,15000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,TECAMACHALCO,42,2800,BUSINESSMAN,XALAPA-ENRIQUEZ,34,COATEPEC,HOUSEWIFE,10500,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,83,3000,RETIRED,SALMORAL,78,XALAPA-ENRIQUEZ,RETIRED,8300,PROFESSIONAL,PROFESSIONAL,MOTHER
SAN ANTONIO,SANCHEZ MAGALLANES,46,11309,LABORATORY,COLONIA SAN ANGEL,75,CHICONTEPEC,LICENSED,15000,WITHOUT SCHOOLING,OTHER,DAD
ZAPOPAN,ALMOLOYA DE JUAREZ,32,950,COMPUTER,THE PITAL,41,COSAMALOAPAN,RETIRED TEACHER,3100,PRIMARY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,35,3000,BUSINESSMAN,TEHUACAN,32,TEHUACAN,BUSINESSMAN,2000,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,32,4000,BUSINESSMAN,XALAPA-ENRIQUEZ,28,XALAPA-ENRIQUEZ,LIC. IN RIGHT,5000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,1600,EMPLOYEE,XALAPA-ENRIQUEZ,37,VIEWPOINTS OF THE SEA,RESEARCHER,15,HIGH SCHOOL,WITHOUT SCHOOLING,MOTHER
MOUTH OF THE RIVER,XALAPA - ENRIQUEZ,51,6000,EMPLOYEE,BANDERILLA,50,XALAPA-ENRIQUEZ,HOME DUTIES,2700,PROFESSIONAL,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,COATZACOALCOS,30,4000,EMPLOYEE,SWEET WATER,32,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PROFESSIONAL,PROFESSIONAL,DAD
IZTAPALAPA,TOLUCA,54,19000,SALES MANAGER,XALAPAEL ESPINAL,78,COSAMALOAPAN,DENTAL SURGEON,5.5,HIGH SCHOOL,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,44,3700,EMPLOYEE,XALAPA-ENRIQUEZ,44,XALAPA-ENRIQUEZ,EMPLOYEE,640,HIGH SCHOOL,WITHOUT SCHOOLING,OTHER
ACAYUCAN,THE RUBI,91,27550,LOCKSMITH,THE IDOLS,58,TIJUANA,BANK CLERK,26693,PREPARATORY,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,33,5000,EMPLOYEE,TLAPACOYAN,21,XALAPA-ENRIQUEZ,STUDENT,85000,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,RICH POOL,34,12000,EMPLOYEE,TENOXTITLAN,36,XALAPA-ENRIQUEZ,EMPLOYEE,8000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,32,15000,EMPLOYEE,XALAPA-ENRIQUEZ,29,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PROFESSIONAL,PROFESSIONAL,MOTHER
WACO,TZAPALOTE,69,25441,RANCHER,TOTALC,42,TLALNELHUAYOCAN,COMPUTING,6640,WITHOUT SCHOOLING,PROFESSIONAL,OTHER
DAWN,COATZINTLA,48,2800,PSYCHOLOGIST,TUXPAN,69,VILLAFLORES,COSMIATRIA,5900,PROFESSIONAL,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,40,1800,WORKER,SAN PEDRO ALTEPEPAN,26,XALAPA-ENRIQUEZ,EMPLOYEE,3100,PRIMARY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,26,6000,EMPLOYEE,XALAPA-ENRIQUEZ,21,XALAPA-ENRIQUEZ,PODOLOGY,30000,PREPARATORY,PREPARATORY,MOTHER
THE ESTANZUELA,THE LINGERIE,53,12060,TEACHER,BEAUTIFUL LOMA,67,CANCUN,HOUSEWIFE,7100,HIGH SCHOOL,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,30,15000,ING. CHEMICAL,FEDERAL DISTRICT,27,XALAPA-ENRIQUEZ,EMPLOYEE,15000,PROFESSIONAL,PROFESSIONAL,OTHER
PANUCO,PANUCO,39,8700,UNEMPLOYED,MADERO CITY,33,PANUCO,EMPLOYEE,3000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,52,20000,ING.,NAUTLA,48,XALAPA-ENRIQUEZ,PROFESSOR,10000,PROFESSIONAL,PROFESSIONAL,MOTHER
ACCEPT,THE BOY,23,2800,PUBLIC SERVER,COMMITTEE,30,THE TALL,PUBLIC ACCOUNTANT,2700,PRIMARY,PREPARATORY,DAD
CUERNAVACA,EDGE OF THE MOUNT,53,4100,CRAFTSMAN,BEAUTIFUL LOMA,49,THE LINGERIE,CLINICAL CHEMICAL,5150,OTHER,OTHER,DAD
XALAPA-ENRIQUEZ,ACHOTAL,54,18000,DOCTOR,PLAN OF THE HAGES,49,XALAPA-ENRIQUEZ,BUSINESSWOMAN,6000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,31,30000,SECRETARY,FEDERAL DISTRICT,30,COYOACAN,DOCTOR,12000,PROFESSIONAL,PROFESSIONAL,OTHER
HIGH PROFIT,THE BEAMS,28,10000,EMPLOYEE,XALAPA-ENRIQUEZ,29,XALAPA-ENRIQUEZ,EMPLOYEE,4500,PROFESSIONAL,PROFESSIONAL,OTHER
GUANAJUATO,AHUACATAN,77,1025,NURSE,PEÑA HIGH,60,CHICONTEPEC,WAITRESS,9600,HIGH SCHOOL,PRIMARY,DAD
MOZOMBOA,SALTILLO LA FRAGUA,62,183000,AGRONOMIST,NEW MORELOS,22,COATZINTLA,Senator,4100,PRIMARY,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,47,20000,EMPLOYEE,SANTIAGO TUXTLA,42,XALAPA-ENRIQUEZ,EMPLOYEE,10000,HIGH SCHOOL,PROFESSIONAL,MOTHER
COSCOMATEPEC,CUAUHTEMOC,55,200000,PHILHARMONIC,SAN JOSE ACATENO,38,AZCAPOTZALCO,LIC. IN PRESCHOOL EDUCATION,1550,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,37,300,EMPLOYEE,XALAPA-ENRIQUEZ,37,XALAPA-ENRIQUEZ,EMPLOYEE,3000,PREPARATORY,PREPARATORY,MOTHER
MINATITLAN,NETZAHUALCOYOTL CITY,83,2000,PUBLIC SERVER,ESCOLIN,84,TAPACHULA,RADIOLOGIST,43000,PROFESSIONAL,HIGH SCHOOL,DAD
CEMPOALA,THREE ZAPOTES,35,45000,AUTOMOTIVE ELECTRICAL,DRAWERS,60,COATEPEC,PUERICULTUR,800,PREPARATORY,PRIMARY,DAD
XALAPA-ENRIQUEZ,OCOMETEPEC,34,6000,EMPLOYEE,XALAPA-ENRIQUEZ,39,XALAPA-ENRIQUEZ,EMPLOYEE,4900,HIGH SCHOOL,HIGH SCHOOL,DAD
MONTERREY,RODRIGUEZ CLARA,60,22000,SALARIED,URSULO GALVAN,22,CEMPOALA,SINGER,6200,PRIMARY,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,30,2500,CHEF,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,HOUSEWORK,75000,PREPARATORY,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,6000,ATTORNEY,XALAPA-ENRIQUEZ,42,XALAPA-ENRIQUEZ,EDUCATOR,6000,PROFESSIONAL,PROFESSIONAL,MOTHER
TEAPAN,TATATILA,25,1530,PUBLIC SERVER,COYUTLA,40,TLALIXCOYAN,ASSISTANT,5,HIGH SCHOOL,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,COACOATZINTLA,32,2800,EMPLOYEE,TEOCELUS,24,XALAPA-ENRIQUEZ,EMPLOYEE,2000,HIGH SCHOOL,HIGH SCHOOL,OTHER
MADERO CITY,TLAMATOCA,77,1400,GOVERNMENT EMPLOYEE,MACUSPANA,32,LION,MUSICIAN,3600,PROFESSIONAL,PROFESSIONAL,OTHER
TLALNELHUAYOCAN,XALAPA - ENRIQUEZ,59,1000,EMPLOYEE,THE MONERA,28,MEXICO,DENTAL PROSTHESIST,90000,PRIMARY,PREPARATORY,MOTHER
JUAN DIAZ COVARRUBIAS,PUEBLA,51,16000,EMPLOYEE,COATEPEC,48,COATEPEC,EMPLOYEE,4300,WITHOUT SCHOOLING,HIGH SCHOOL,DAD
ZAPOPAN,CALPULALPAN,73,11700,CONCESSIONAIRE,CHONTLA,28,CARMEN CITY,LITIGANT,7200,WITHOUT SCHOOLING,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,TOMATLAN,31,6040,EMPLOYEE,XALAPA-ENRIQUEZ,45,XALAPA-ENRIQUEZ,HOUSEWIFE,1200,PRIMARY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,65,10000,TRAILER,XALAPA-ENRIQUEZ,58,XALAPA-ENRIQUEZ,SINGER,13000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,39,1000,TINSMITH,XALAPA-ENRIQUEZ,37,XALAPA-ENRIQUEZ,EMPLOYEE,8000,HIGH SCHOOL,PREPARATORY,MOTHER
TLALNELHUAYOCAN,CARLOS A. CARRILLO,71,3700,ARTIST,SAN MIGUEL ZOAPAN,50,MINATITLAN,CLINICAL CHEMICAL,500,PROFESSIONAL,PRIMARY,DAD
XALAPA-ENRIQUEZ,ALVARADO,42,12000,BUSINESSMAN,XALAPA-ENRIQUEZ,47,XALAPA-ENRIQUEZ,TEACHER,3000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,47,9000,NUTRIOLOGIST,XALAPA-ENRIQUEZ,46,XALAPA-ENRIQUEZ,TEACHER,4800,PROFESSIONAL,PROFESSIONAL,OTHER
SAN JUAN,CHILTOYAC,60,8800,SCHOOL DIRECTOR,MOUNT OBSCURO,74,CUERNAVACA,GENERAL DOCTOR,1800,HIGH SCHOOL,HIGH SCHOOL,OTHER
NAVOLATO,REEDBED,39,6200,COMPUTER,CUYOACO,70,COATZINTLA,VOLUNTEER PROMOTER,10300,OTHER,PREPARATORY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,28,4000,EMPLOYEE,BOUNDARIES,31,BOUNDARIES,EMPLOYEE,4000,HIGH SCHOOL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,50,14500,EMPLOYEE,THE HANDLE,37,XALAPA-ENRIQUEZ,TEACHER,1700,PREPARATORY,PROFESSIONAL,MOTHER
THE ESTANZUELA,TEZAHUAPAN,65,25441,SYSTEM TECHNIQUE,SAN GABRIEL CHILAC,54,XICO,DENTAL PROSTHESIST,20000,OTHER,PRIMARY,OTHER
XALAPA-ENRIQUEZ,HUATUSCO,60,7000,TEACHER,XALAPA-ENRIQUEZ,56,XALAPA-ENRIQUEZ,HOUSEWIFE,60000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,45,800,PLUMBER,XALAPA-ENRIQUEZ,44,XALAPA-ENRIQUEZ,EMPLOYEE,1400,PRIMARY,PREPARATORY,MOTHER
BARRANCA GRANDE,SAN LUIS POTOSI,68,6600,GENERAL DOCTOR,TEPIOLULCO,34,GUTIERREZ ZAMORA,RESTAURANT,9200,PRIMARY,PRIMARY,DAD
THE BRIDGES,SHOULDER,58,7130,DENTAL SURGEON,SAN JOSE TEPOZOTE,56,THE CASTLE,PRIVATE TEACHER,70000,PREPARATORY,OTHER,DAD
XALAPA-ENRIQUEZ,RICH POOL,34,8000,EMPLOYEE,XALAPA-ENRIQUEZ,35,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,26,2800,EMPLOYEE,XALAPA-ENRIQUEZ,25,XALAPA-ENRIQUEZ,EMPLOYEE,2000,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,30,1250,EXECUTIVE,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,HOUSEWIFE,46000,PREPARATORY,PROFESSIONAL,MOTHER
VILLAFLORES,ORANGES,36,6040,TELEPHONIST,XALAPAEL ESPINAL,57,NICOLAS WHITE,CABBIE,25000,PRIMARY,PROFESSIONAL,OTHER
THE BOY,PALM BAR,42,3800,EMPLOYEE,XALAPA-ENRIQUEZ,41,XALAPA-ENRIQUEZ,SECRETARY,3600,PREPARATORY,HIGH SCHOOL,MOTHER
TLACOTALPAN,HUETAMO,34,18870,AGENT,ZENTLA,63,OAXACA,SEAMSTRESS,2474,PROFESSIONAL,PRIMARY,OTHER
XALAPA-ENRIQUEZ,VERACRUZ,36,9800,EMPLOYEE,THE CHOAPAS,36,XALAPA-ENRIQUEZ,HOUSEWIFE,7800,HIGH SCHOOL,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,70,30000,ARCHITECT,XALAPA-ENRIQUEZ,67,XALAPA-ENRIQUEZ,Accountant,15000,PROFESSIONAL,PROFESSIONAL,DAD
